username,userurl,projname,projurl,star,about,topics,update,issues
nvbn,github.com/nvbn,thefuck,github.com/nvbn/thefuck,74249,Magnificent app which corrects your previous console command.,"python,shell","Sep 30, 2022",204
huggingface,github.com/huggingface,transformers,github.com/huggingface/transformers,73029,"ğŸ¤—Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.","python,nlp,machine-learning,natural-language-processing,deep-learning,tensorflow,pytorch,transformer,speech-recognition,seq2seq,flax,pretrained-models,language-models,nlp-library,language-model,hacktoberfest,bert,jax,pytorch-transformers,model-hub","Oct 27, 2022",409
donnemartin,github.com/donnemartin,system-design-primer,github.com/donnemartin/system-design-primer,201189,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashcards.,"python,design,development,programming,web,system,design-patterns,interview,web-application,webapp,interview-practice,interview-questions,design-system","Oct 27, 2022",166
vinta,github.com/vinta,awesome-python,github.com/vinta/awesome-python,145293,"A curated list of awesome Python frameworks, libraries, software and resources","python,awesome,python-library,collections,python-framework,python-resources","Oct 25, 2022",11
pallets,github.com/pallets,flask,github.com/pallets/flask,60934,The Python micro framework for building web applications.,"python,flask,web-framework,wsgi,jinja,werkzeug,pallets","Oct 26, 2022",5
practical-tutorials,github.com/practical-tutorials,project-based-learning,github.com/practical-tutorials/project-based-learning,79833,Curated list of project-based tutorials,"javascript,python,golang,tutorial,cpp,beginner-project,project,webdevelopment","Oct 19, 2022",16
CyC2018,github.com/CyC2018,CS-Notes,github.com/CyC2018/CS-Notes,157955,ğŸ“šæŠ€æœ¯é¢è¯•å¿…å¤‡åŸºç¡€çŸ¥è¯†ã€Leetcodeã€è®¡ç®—æœºæ“ä½œç³»ç»Ÿã€è®¡ç®—æœºç½‘ç»œã€ç³»ç»Ÿè®¾è®¡,"python,java,computer-science,algorithm,leetcode,cpp,interview,system-design","Oct 7, 2022",115
azl397985856,github.com/azl397985856,leetcode,github.com/azl397985856/leetcode,49679,æ¨èåˆ·é¢˜ç½‘ç«™ï¼š,"javascript,python,java,computer-science,tree,algorithm,algorithms,leetcode,cpp,interview,algo,data-structures,leetcode-solutions,algorithms-datastructures","Oct 17, 2022",2
tiangolo,github.com/tiangolo,fastapi,github.com/tiangolo/fastapi,50889,"FastAPI framework, high performance, easy to learn, fast to code, ready for production","python,api,json,framework,web,rest,json-schema,async,swagger,openapi,python3,asyncio,swagger-ui,redoc,openapi3,python-types,uvicorn,starlette,pydantic,fastapi","Oct 26, 2022",1119
ansible,github.com/ansible,ansible,github.com/ansible/ansible,55204,"Ansible is a radically simple IT automation platform that makes your applications and systems easier to deploy and maintain. Automate everything from code deployment to network configuration to cloud management, in a language that approaches plain English, using SSH, with no agents to install on remote systems.","python,ansible,hacktoberfest","Oct 27, 2022",663
TheAlgorithms,github.com/TheAlgorithms,Python,github.com/TheAlgorithms/Python,147521,All Algorithms implemented in Python,"python,education,algorithm,practice,interview,sorting-algorithms,learn,algos,algorithm-competitions,sorts,hacktoberfest,algorithms-implemented,community-driven,searches","Oct 27, 2022",78
keras-team,github.com/keras-team,keras,github.com/keras-team/keras,56471,Deep Learning for humans,"python,data-science,machine-learning,deep-learning,tensorflow,neural-networks","Oct 27, 2022",250
pytorch,github.com/pytorch,pytorch,github.com/pytorch/pytorch,59854,Tensors and Dynamic neural networks in Python with strong GPU acceleration,"python,machine-learning,deep-learning,neural-network,gpu,numpy,autograd,tensor","Oct 27, 2022",5000
521xueweihan,github.com/521xueweihan,HelloGitHub,github.com/521xueweihan/HelloGitHub,60619,"åˆ†äº« GitHub ä¸Šæœ‰è¶£ã€å…¥é—¨çº§çš„å¼€æºé¡¹ç›®ã€‚Share interesting, entry-level open source projects on GitHub.","github,python,awesome,hellogithub","Oct 18, 2022",39
tensorflow,github.com/tensorflow,tensorflow,github.com/tensorflow/tensorflow,168670,An Open Source Machine Learning Framework for Everyone,"python,machine-learning,deep-neural-networks,deep-learning,neural-network,tensorflow,ml,distributed","Oct 27, 2022",2115
apache,github.com/apache,superset,github.com/apache/superset,48764,Apache Superset is a Data Visualization and Data Exploration Platform,"react,python,flask,data-science,bi,analytics,superset,apache,data-visualization,data-engineering,business-intelligence,data-viz,data-analytics,data-analysis,sql-editor,asf,business-analytics,apache-superset","Oct 27, 2022",1231
scikit-learn,github.com/scikit-learn,scikit-learn,github.com/scikit-learn/scikit-learn,51866,scikit-learn: machine learning in Python,"python,data-science,machine-learning,statistics,data-analysis","Oct 27, 2022",1540
home-assistant,github.com/home-assistant,core,github.com/home-assistant/core,55507,ğŸ¡Open source home automation that puts local control and privacy first.,"python,home-automation,mqtt,raspberry-pi,iot,internet-of-things,asyncio,hacktoberfest","Oct 27, 2022",1570
